conduit_id,edge_index,from_node,to_node,from_index,to_index,length_m,diameter_m,slope,roughness_n,shape,max_flow_capacity_m3s,from_invert_elev_m,to_invert_elev_m,head_drop_m,hydraulic_slope,full_velocity_m_s,full_capacity_m3_s
C_J_KUK_014_J_KUK_015,13,J_KUK_014,J_KUK_015,13,14,786.11,2.29,0.00519,0.025,RECT_CLOSED,8.15,536.25,532.17,4.08,0.00519,1.99,8.2
C_J_BAL_016_J_BAL_017,14,J_BAL_016,J_BAL_017,15,16,648.7,0.9,0.00148,0.015,CIRCULAR,0.6,551.36,550.4,0.96,0.00148,0.95,0.6
C_J_BAL_017_J_BAL_018,15,J_BAL_017,J_BAL_018,16,17,1822.93,1.01,0.00172,0.015,CIRCULAR,0.88,550.4,547.26,3.14,0.00172,1.1,0.88
C_J_BAL_018_J_BAL_019,16,J_BAL_018,J_BAL_019,17,18,686.51,1.11,0.00149,0.015,CIRCULAR,1.07,547.26,546.24,1.02,0.00149,1.09,1.05
C_J_BAL_019_J_BAL_020,17,J_BAL_019,J_BAL_020,18,19,1385.54,1.22,0.001,0.015,CIRCULAR,1.12,546.24,545.18,1.06,0.00077,0.84,0.98
C_J_BAL_020_J_BAL_021,18,J_BAL_020,J_BAL_021,19,20,1581.54,1.33,0.00182,0.015,CIRCULAR,1.88,545.18,542.3,2.88,0.00182,1.37,1.9
C_J_BAL_021_J_BAL_022,19,J_BAL_021,J_BAL_022,20,21,1021.27,1.43,0.001,0.015,CIRCULAR,1.72,542.3,541.5,0.8,0.00078,0.94,1.51
C_J_BAL_022_J_BAL_023,20,J_BAL_022,J_BAL_023,21,22,803.62,1.54,0.00347,0.015,CIRCULAR,3.87,541.5,538.71,2.79,0.00347,2.08,3.87
C_J_BAL_023_J_BAL_024,21,J_BAL_023,J_BAL_024,22,23,2815.28,1.65,0.001,0.025,CIRCULAR,1.49,538.71,536.0,2.71,0.00096,0.69,1.48
C_J_BAL_024_J_BAL_025,22,J_BAL_024,J_BAL_025,23,24,363.13,1.75,0.001,0.025,CIRCULAR,1.76,536.0,535.9,0.1,0.0005,0.52,1.25
C_J_BAL_025_J_BAL_026,23,J_BAL_025,J_BAL_026,24,25,1290.63,1.86,0.001,0.025,CIRCULAR,2.06,535.9,534.85,1.05,0.00081,0.68,1.85
C_J_BAL_026_J_BAL_027,24,J_BAL_026,J_BAL_027,25,26,1895.24,1.97,0.00169,0.025,CIRCULAR,3.12,534.85,531.64,3.21,0.00169,1.03,3.14
C_J_BAL_027_J_BAL_028,25,J_BAL_027,J_BAL_028,26,27,994.28,2.07,0.00127,0.025,RECT_CLOSED,3.1,531.64,530.38,1.26,0.00127,0.92,3.1
C_J_BAL_028_J_BAL_029,26,J_BAL_028,J_BAL_029,27,28,2291.77,2.18,0.001,0.025,RECT_CLOSED,3.15,530.38,528.5,1.88,0.00082,0.76,2.84
C_J_BAL_029_J_BAL_030,27,J_BAL_029,J_BAL_030,28,29,3285.34,2.29,0.001,0.025,RECT_CLOSED,3.58,528.5,527.2,1.3,0.0005,0.62,2.55
C_TRUNK_J_KUK_015_J_BAL_016,28,J_KUK_015,J_BAL_016,14,15,6592.69,3.0,0.001,0.022,RECT_CLOSED,7.78,532.17,551.36,-19.19,0.0005,0.84,5.94
C_J_HUS_031_J_HUS_032,29,J_HUS_031,J_HUS_032,30,31,2610.3,0.9,0.001,0.015,CIRCULAR,0.5,533.17,532.49,0.68,0.0005,0.55,0.35
C_J_HUS_032_J_HUS_033,30,J_HUS_032,J_HUS_033,31,32,437.33,1.01,0.00579,0.015,CIRCULAR,1.61,532.49,529.96,2.53,0.00579,2.03,1.63
C_J_HUS_033_J_HUS_034,31,J_HUS_033,J_HUS_034,32,33,1845.35,1.11,0.001,0.015,CIRCULAR,0.87,529.96,528.7,1.26,0.00068,0.74,0.72
C_J_HUS_034_J_HUS_035,32,J_HUS_034,J_HUS_035,33,34,1100.66,1.22,0.00167,0.015,CIRCULAR,1.44,528.7,526.86,1.84,0.00167,1.23,1.44
C_J_HUS_035_J_HUS_036,33,J_HUS_035,J_HUS_036,34,35,2721.43,1.33,0.00123,0.015,CIRCULAR,1.55,526.86,523.51,3.35,0.00123,1.12,1.56
C_J_HUS_036_J_HUS_037,34,J_HUS_036,J_HUS_037,35,36,1918.41,1.43,0.001,0.015,CIRCULAR,1.72,523.51,522.37,1.14,0.00059,0.82,1.32
C_J_HUS_037_J_HUS_038,35,J_HUS_037,J_HUS_038,36,37,2477.19,1.54,0.001,0.015,CIRCULAR,2.08,522.37,520.9,1.47,0.00059,0.86,1.6
C_J_HUS_038_J_HUS_039,36,J_HUS_038,J_HUS_039,37,38,1904.83,1.65,0.001,0.025,CIRCULAR,1.49,520.9,519.23,1.67,0.00088,0.66,1.41
C_J_HUS_039_J_HUS_040,37,J_HUS_039,J_HUS_040,38,39,1011.83,1.75,0.00228,0.025,CIRCULAR,2.66,519.23,516.92,2.31,0.00228,1.1,2.65
C_J_HUS_040_J_HUS_041,38,J_HUS_040,J_HUS_041,39,40,2262.01,1.86,0.00113,0.025,CIRCULAR,2.19,516.92,514.36,2.56,0.00113,0.81,2.2
C_J_HUS_041_J_HUS_042,39,J_HUS_041,J_HUS_042,40,41,2108.06,1.97,0.001,0.025,CIRCULAR,2.39,514.36,514.85,-0.49,0.0005,0.56,1.71
C_J_HUS_042_J_HUS_043,40,J_HUS_042,J_HUS_043,41,42,2598.7,2.07,0.001,0.025,RECT_CLOSED,2.76,514.85,512.6,2.25,0.00087,0.76,2.56
C_J_HUS_043_J_HUS_044,41,J_HUS_043,J_HUS_044,42,43,1560.22,2.18,0.00163,0.025,RECT_CLOSED,4.03,512.6,510.05,2.55,0.00163,1.08,4.03
C_J_HUS_044_J_HUS_045,42,J_HUS_044,J_HUS_045,43,44,1598.79,2.29,0.00118,0.025,RECT_CLOSED,3.89,510.05,508.16,1.89,0.00118,0.95,3.91
C_TRUNK_J_BAL_030_J_HUS_031,43,J_BAL_030,J_HUS_031,29,30,7610.09,3.0,0.001,0.022,RECT_CLOSED,7.78,527.2,533.17,-5.97,0.0005,0.84,5.94
C_J_MUR_046_J_MUR_047,44,J_MUR_046,J_MUR_047,45,46,2366.74,0.9,0.001,0.015,CIRCULAR,0.5,517.61,516.79,0.82,0.0005,0.55,0.35
C_J_MUR_047_J_MUR_048,45,J_MUR_047,J_MUR_048,46,47,745.52,1.01,0.00357,0.015,CIRCULAR,1.26,516.79,514.13,2.66,0.00357,1.59,1.27
C_J_MUR_048_J_MUR_049,46,J_MUR_048,J_MUR_049,47,48,2260.41,1.11,0.001,0.015,CIRCULAR,0.87,514.13,513.77,0.36,0.0005,0.63,0.61
C_J_MUR_049_J_MUR_050,47,J_MUR_049,J_MUR_050,48,49,1672.32,1.22,0.00175,0.015,CIRCULAR,1.48,513.77,510.84,2.93,0.00175,1.26,1.47
C_J_MUR_050_J_MUR_051,48,J_MUR_050,J_MUR_051,49,50,2115.33,1.33,0.001,0.015,CIRCULAR,1.4,510.84,510.22,0.62,0.0005,0.72,1.0
C_J_MUR_051_J_MUR_052,49,J_MUR_051,J_MUR_052,50,51,1958.11,1.43,0.00126,0.015,CIRCULAR,1.92,510.22,507.76,2.46,0.00126,1.19,1.91
C_J_MUR_052_J_MUR_053,50,J_MUR_052,J_MUR_053,51,52,258.73,1.54,0.00874,0.015,CIRCULAR,6.14,507.76,505.5,2.26,0.00873,3.3,6.15
C_J_MUR_053_J_MUR_054,51,J_MUR_053,J_MUR_054,52,53,1021.73,1.65,0.001,0.025,CIRCULAR,1.49,505.5,504.58,0.92,0.0009,0.66,1.41
C_J_MUR_054_J_MUR_055,52,J_MUR_054,J_MUR_055,53,54,426.07,1.75,0.00643,0.025,CIRCULAR,4.47,504.58,501.84,2.74,0.00643,1.85,4.45
C_J_MUR_055_J_MUR_056,53,J_MUR_055,J_MUR_056,54,55,1025.88,1.86,0.00155,0.025,CIRCULAR,2.57,501.84,500.25,1.59,0.00155,0.95,2.58
C_J_MUR_056_J_MUR_057,54,J_MUR_056,J_MUR_057,55,56,1953.52,1.97,0.001,0.025,CIRCULAR,2.39,500.25,499.39,0.86,0.0005,0.56,1.71
C_J_MUR_057_J_MUR_058,55,J_MUR_057,J_MUR_058,56,57,2872.84,2.07,0.001,0.025,RECT_CLOSED,2.76,499.39,497.37,2.02,0.0007,0.68,2.29
C_J_MUR_058_J_MUR_059,56,J_MUR_058,J_MUR_059,57,58,1362.01,2.18,0.00123,0.025,RECT_CLOSED,3.49,497.37,495.7,1.67,0.00123,0.94,3.51
C_J_MUR_059_J_MUR_060,57,J_MUR_059,J_MUR_060,58,59,2847.75,2.29,0.00103,0.025,RECT_CLOSED,3.63,495.7,492.77,2.93,0.00103,0.89,3.67
C_TRUNK_J_HUS_045_J_MUR_046,58,J_HUS_045,J_MUR_046,44,45,5416.07,3.0,0.001,0.022,RECT_CLOSED,7.78,508.16,517.61,-9.45,0.0005,0.84,5.94
C_J_CYB_061_J_CYB_062,59,J_CYB_061,J_CYB_062,60,61,3077.96,0.9,0.001,0.015,CIRCULAR,0.5,583.27,580.93,2.34,0.00076,0.68,0.43
C_J_CYB_062_J_CYB_063,60,J_CYB_062,J_CYB_063,61,62,2266.06,1.01,0.00107,0.015,CIRCULAR,0.69,580.93,578.5,2.43,0.00107,0.87,0.7
C_J_CYB_063_J_CYB_064,61,J_CYB_063,J_CYB_064,62,63,1355.36,1.11,0.001,0.015,CIRCULAR,0.87,578.5,578.46,0.04,0.0005,0.63,0.61
C_J_CYB_064_J_CYB_065,62,J_CYB_064,J_CYB_065,63,64,1087.83,1.22,0.00143,0.015,CIRCULAR,1.34,578.46,576.9,1.56,0.00143,1.14,1.33
C_J_CYB_065_J_CYB_066,63,J_CYB_065,J_CYB_066,64,65,808.92,1.33,0.00263,0.015,CIRCULAR,2.27,576.9,574.77,2.13,0.00263,1.64,2.28
C_J_CYB_066_J_CYB_067,64,J_CYB_066,J_CYB_067,65,66,1426.96,1.43,0.00125,0.015,CIRCULAR,1.92,574.77,572.98,1.79,0.00125,1.19,1.91
C_J_CYB_067_J_CYB_068,65,J_CYB_067,J_CYB_068,66,67,1094.68,1.54,0.00166,0.015,CIRCULAR,2.68,572.98,571.16,1.82,0.00166,1.44,2.68
C_J_CYB_068_J_CYB_069,66,J_CYB_068,J_CYB_069,67,68,1931.27,1.65,0.00117,0.025,CIRCULAR,1.61,571.16,568.91,2.25,0.00117,0.76,1.63
C_J_CYB_069_J_CYB_070,67,J_CYB_069,J_CYB_070,68,69,659.87,1.75,0.00274,0.025,CIRCULAR,2.92,568.91,567.1,1.81,0.00274,1.21,2.91
C_J_CYB_070_J_CYB_071,68,J_CYB_070,J_CYB_071,69,70,797.88,1.86,0.001,0.025,CIRCULAR,2.06,567.1,566.33,0.77,0.00097,0.75,2.04
C_J_CYB_071_J_CYB_072,69,J_CYB_071,J_CYB_072,70,71,2679.85,1.97,0.00128,0.025,CIRCULAR,2.7,566.33,562.91,3.42,0.00128,0.89,2.71
C_J_CYB_072_J_CYB_073,70,J_CYB_072,J_CYB_073,71,72,2136.38,2.07,0.001,0.025,RECT_CLOSED,2.76,562.91,561.77,1.14,0.00053,0.59,1.99
C_J_CYB_073_J_CYB_074,71,J_CYB_073,J_CYB_074,72,73,1010.95,2.18,0.001,0.025,RECT_CLOSED,3.15,561.77,561.11,0.66,0.00065,0.68,2.54
C_J_CYB_074_J_CYB_075,72,J_CYB_074,J_CYB_075,73,74,3145.57,2.29,0.00114,0.025,RECT_CLOSED,3.82,561.11,557.53,3.58,0.00114,0.93,3.83
C_TRUNK_J_MUR_060_J_CYB_061,73,J_MUR_060,J_CYB_061,59,60,3757.15,3.0,0.001,0.022,RECT_CLOSED,7.78,492.77,583.27,-90.5,0.0005,0.84,5.94
