node_id,node_index,zone,latitude,longitude,ground_elevation_m,invert_elevation_m,max_depth_m,subcatchment_area_ha,is_outfall,catchment_slope_pct,depression_storage_mm,impervious_pct_current,runoff_coefficient
J_KUK_015,14,Kukatpally Nala Basin,17.313167,78.417661,536.31,532.17,4.13,11.19,1,1.05,2.21,78.88,0.742
J_BAL_016,15,Balkapur Nala & Central Zone,17.35187,78.464838,554.57,551.36,3.22,3.51,0,1.05,1.68,85.83,0.794
J_BAL_017,16,Balkapur Nala & Central Zone,17.355893,78.460399,553.03,550.4,2.63,6.04,0,1.41,2.57,88.64,0.815
J_BAL_018,17,Balkapur Nala & Central Zone,17.339755,78.463588,551.54,547.26,4.27,8.14,0,2.07,2.64,88.36,0.813
J_BAL_019,18,Balkapur Nala & Central Zone,17.333588,78.463097,549.86,546.24,3.62,12.02,0,1.8,2.34,85.46,0.791
J_BAL_020,19,Balkapur Nala & Central Zone,17.344814,78.457382,547.73,545.18,2.55,3.4,0,1.37,2.66,86.88,0.802
J_BAL_021,20,Balkapur Nala & Central Zone,17.330943,78.460792,545.81,542.3,3.52,13.8,0,2.34,2.24,86.93,0.802
J_BAL_022,21,Balkapur Nala & Central Zone,17.337479,78.454011,544.46,541.5,2.96,3.0,0,0.92,2.28,88.48,0.814
J_BAL_023,22,Balkapur Nala & Central Zone,17.338693,78.446537,542.83,538.71,4.12,10.23,0,1.38,2.14,87.6,0.807
J_BAL_024,23,Balkapur Nala & Central Zone,17.356144,78.46581,540.29,536.0,4.29,9.01,0,1.6,1.54,87.07,0.803
J_BAL_025,24,Balkapur Nala & Central Zone,17.354223,78.468583,538.62,535.9,2.72,4.96,0,1.87,1.66,85.86,0.794
J_BAL_026,25,Balkapur Nala & Central Zone,17.342813,78.46624,537.36,534.85,2.51,8.64,0,2.86,1.55,88.23,0.812
J_BAL_027,26,Balkapur Nala & Central Zone,17.342522,78.448363,534.82,531.64,3.18,14.26,0,1.1,2.45,88.68,0.815
J_BAL_028,27,Balkapur Nala & Central Zone,17.339696,78.457264,533.6,530.38,3.23,14.63,0,2.04,1.97,88.69,0.815
J_BAL_029,28,Balkapur Nala & Central Zone,17.358873,78.449253,531.6,528.5,3.1,5.7,0,2.28,2.26,85.78,0.793
J_BAL_030,29,Balkapur Nala & Central Zone,17.331107,78.459987,529.8,527.2,2.6,5.62,1,0.64,2.86,86.26,0.797
J_HUS_031,30,Hussain Sagar Surplus & Ashok Nagar,17.397248,78.478887,536.64,533.17,3.48,14.81,0,2.32,1.87,88.24,0.812
J_HUS_032,31,Hussain Sagar Surplus & Ashok Nagar,17.377262,78.491864,535.46,532.49,2.98,11.47,0,1.01,2.12,88.69,0.815
J_HUS_033,32,Hussain Sagar Surplus & Ashok Nagar,17.381033,78.490669,533.53,529.96,3.57,3.17,0,0.7,2.63,89.25,0.819
J_HUS_034,33,Hussain Sagar Surplus & Ashok Nagar,17.395059,78.481323,531.29,528.7,2.58,9.68,0,3.35,1.84,90.2,0.826
J_HUS_035,34,Hussain Sagar Surplus & Ashok Nagar,17.390327,78.472198,529.81,526.86,2.95,10.39,0,3.4,1.62,90.88,0.832
J_HUS_036,35,Hussain Sagar Surplus & Ashok Nagar,17.375231,78.492428,527.89,523.51,4.37,3.79,0,2.93,1.93,88.08,0.811
J_HUS_037,36,Hussain Sagar Surplus & Ashok Nagar,17.380232,78.475104,526.62,522.37,4.25,5.35,0,1.41,1.74,90.21,0.827
J_HUS_038,37,Hussain Sagar Surplus & Ashok Nagar,17.3898,78.496217,524.46,520.9,3.56,5.14,0,0.79,2.89,90.08,0.826
J_HUS_039,38,Hussain Sagar Surplus & Ashok Nagar,17.372793,78.498616,523.0,519.23,3.77,6.41,0,2.55,2.71,87.6,0.807
J_HUS_040,39,Hussain Sagar Surplus & Ashok Nagar,17.380476,78.493479,521.2,516.92,4.27,12.14,0,1.82,2.45,87.64,0.807
J_HUS_041,40,Hussain Sagar Surplus & Ashok Nagar,17.389261,78.474224,518.66,514.36,4.3,9.88,0,0.87,2.81,89.72,0.823
J_HUS_042,41,Hussain Sagar Surplus & Ashok Nagar,17.370276,78.474744,517.36,514.85,2.51,4.09,0,1.99,2.71,87.44,0.806
J_HUS_043,42,Hussain Sagar Surplus & Ashok Nagar,17.386462,78.492457,515.55,512.6,2.95,11.26,0,0.6,1.78,88.43,0.813
J_HUS_044,43,Hussain Sagar Surplus & Ashok Nagar,17.377117,78.481462,513.85,510.05,3.8,13.04,0,3.23,2.84,89.74,0.823
J_HUS_045,44,Hussain Sagar Surplus & Ashok Nagar,17.389728,78.488749,511.39,508.16,3.24,5.45,1,1.28,2.31,89.15,0.819
J_MUR_046,45,Murki Nala & Old City Zone,17.41732,78.53089,521.89,517.61,4.28,10.2,0,2.49,2.71,89.18,0.819
J_MUR_047,46,Murki Nala & Old City Zone,17.433844,78.516779,520.28,516.79,3.49,4.54,0,1.44,2.84,88.79,0.816
J_MUR_048,47,Murki Nala & Old City Zone,17.431674,78.510123,517.92,514.13,3.79,4.3,0,2.06,1.98,88.53,0.814
J_MUR_049,48,Murki Nala & Old City Zone,17.438214,78.530318,517.01,513.77,3.24,2.2,0,2.14,1.67,88.21,0.812
J_MUR_050,49,Murki Nala & Old City Zone,17.43785,78.514546,515.27,510.84,4.43,13.09,0,1.05,1.84,86.85,0.801
J_MUR_051,50,Murki Nala & Old City Zone,17.418833,78.513253,513.35,510.22,3.13,4.2,0,3.41,2.14,88.86,0.816
J_MUR_052,51,Murki Nala & Old City Zone,17.426704,78.529785,511.4,507.76,3.64,3.26,0,2.83,2.73,88.46,0.813
J_MUR_053,52,Murki Nala & Old City Zone,17.42845,78.531402,509.04,505.5,3.54,13.41,0,3.32,2.79,87.64,0.807
J_MUR_054,53,Murki Nala & Old City Zone,17.432223,78.52261,507.8,504.58,3.22,5.82,0,3.18,1.51,89.43,0.821
J_MUR_055,54,Murki Nala & Old City Zone,17.434281,78.526003,506.17,501.84,4.33,8.65,0,2.29,2.27,86.79,0.801
J_MUR_056,55,Murki Nala & Old City Zone,17.425045,78.525649,504.15,500.25,3.9,12.35,0,3.27,2.13,87.13,0.803
J_MUR_057,56,Murki Nala & Old City Zone,17.4367,78.51184,502.08,499.39,2.69,9.52,0,0.77,1.83,89.77,0.823
J_MUR_058,57,Murki Nala & Old City Zone,17.411078,78.515668,500.44,497.37,3.07,9.68,0,1.09,1.68,89.93,0.824
J_MUR_059,58,Murki Nala & Old City Zone,17.410915,78.50282,498.92,495.7,3.22,3.65,0,0.64,2.01,87.37,0.805
J_MUR_060,59,Murki Nala & Old City Zone,17.425667,78.5248,496.52,492.77,3.75,3.11,1,1.48,2.91,88.74,0.816
J_CYB_061,60,Cyberabad - Hitec City Zone,17.45155,78.547641,587.04,583.27,3.77,11.44,0,1.67,1.98,85.51,0.791
J_CYB_062,61,Cyberabad - Hitec City Zone,17.479276,78.547189,585.02,580.93,4.09,5.52,0,1.31,2.28,82.38,0.768
J_CYB_063,62,Cyberabad - Hitec City Zone,17.463169,78.534054,582.93,578.5,4.43,12.87,0,2.99,2.55,83.56,0.777
J_CYB_064,63,Cyberabad - Hitec City Zone,17.470879,78.543969,581.27,578.46,2.81,5.25,0,1.57,2.05,85.38,0.79
J_CYB_065,64,Cyberabad - Hitec City Zone,17.466477,78.553138,579.96,576.9,3.06,14.41,0,1.34,2.96,83.81,0.779
J_CYB_066,65,Cyberabad - Hitec City Zone,17.472137,78.548331,578.11,574.77,3.34,5.22,0,2.13,2.94,82.83,0.771
J_CYB_067,66,Cyberabad - Hitec City Zone,17.460679,78.554435,575.71,572.98,2.73,2.6,0,0.92,1.88,83.19,0.774
J_CYB_068,67,Cyberabad - Hitec City Zone,17.451222,78.557364,574.6,571.16,3.45,3.27,0,2.91,2.25,83.37,0.775
J_CYB_069,68,Cyberabad - Hitec City Zone,17.464748,78.545904,572.27,568.91,3.37,7.18,0,0.72,1.95,84.69,0.785
J_CYB_070,69,Cyberabad - Hitec City Zone,17.468476,78.550753,570.35,567.1,3.25,10.14,0,3.46,1.93,85.67,0.793
J_CYB_071,70,Cyberabad - Hitec City Zone,17.465094,78.557395,569.16,566.33,2.83,2.92,0,2.82,1.56,83.1,0.773
J_CYB_072,71,Cyberabad - Hitec City Zone,17.469273,78.532495,567.29,562.91,4.38,9.48,0,1.1,2.41,83.15,0.774
J_CYB_073,72,Cyberabad - Hitec City Zone,17.461645,78.550999,565.36,561.77,3.59,14.24,0,0.52,2.25,82.09,0.766
J_CYB_074,73,Cyberabad - Hitec City Zone,17.461583,78.560536,564.01,561.11,2.89,2.9,0,2.95,1.58,83.95,0.78
J_CYB_075,74,Cyberabad - Hitec City Zone,17.453023,78.532247,561.39,557.53,3.87,2.93,1,2.62,1.92,82.94,0.772
