year,node_id,zone,impervious_pct,pervious_pct,runoff_coefficient,horton_f0_mm_hr,horton_finf_mm_hr,horton_decay_k
2018,J_KUK_006,Kukatpally Nala Basin,68.23,31.77,0.662,33.82,5.18,3.5
2019,J_KUK_006,Kukatpally Nala Basin,71.56,28.44,0.687,31.33,4.84,3.5
2020,J_KUK_006,Kukatpally Nala Basin,74.53,25.47,0.709,29.1,4.55,3.5
2021,J_KUK_006,Kukatpally Nala Basin,77.0,23.0,0.728,27.25,4.3,3.5
2022,J_KUK_006,Kukatpally Nala Basin,78.95,21.05,0.742,25.79,4.11,3.5
2023,J_KUK_006,Kukatpally Nala Basin,80.41,19.59,0.753,24.69,3.96,3.5
2024,J_KUK_006,Kukatpally Nala Basin,81.48,18.52,0.761,23.89,3.85,3.5
2025,J_KUK_006,Kukatpally Nala Basin,82.23,17.77,0.767,23.33,3.78,3.5
2010,J_KUK_007,Kukatpally Nala Basin,55.27,44.73,0.565,43.55,6.47,3.5
2011,J_KUK_007,Kukatpally Nala Basin,55.85,44.15,0.569,43.11,6.41,3.5
2012,J_KUK_007,Kukatpally Nala Basin,56.67,43.33,0.575,42.49,6.33,3.5
2013,J_KUK_007,Kukatpally Nala Basin,57.8,42.2,0.584,41.65,6.22,3.5
2014,J_KUK_007,Kukatpally Nala Basin,59.31,40.69,0.595,40.52,6.07,3.5
2015,J_KUK_007,Kukatpally Nala Basin,61.22,38.78,0.609,39.09,5.88,3.5
2016,J_KUK_007,Kukatpally Nala Basin,63.51,36.49,0.626,37.37,5.65,3.5
2017,J_KUK_007,Kukatpally Nala Basin,66.08,33.92,0.646,35.44,5.39,3.5
2018,J_KUK_007,Kukatpally Nala Basin,68.76,31.24,0.666,33.43,5.12,3.5
2019,J_KUK_007,Kukatpally Nala Basin,71.33,28.67,0.685,31.5,4.87,3.5
2020,J_KUK_007,Kukatpally Nala Basin,73.63,26.37,0.702,29.78,4.64,3.5
2021,J_KUK_007,Kukatpally Nala Basin,75.54,24.46,0.717,28.35,4.45,3.5
2022,J_KUK_007,Kukatpally Nala Basin,77.04,22.96,0.728,27.22,4.3,3.5
2023,J_KUK_007,Kukatpally Nala Basin,78.17,21.83,0.736,26.37,4.18,3.5
2024,J_KUK_007,Kukatpally Nala Basin,78.99,21.01,0.742,25.76,4.1,3.5
2025,J_KUK_007,Kukatpally Nala Basin,79.58,20.42,0.747,25.32,4.04,3.5
2010,J_KUK_008,Kukatpally Nala Basin,51.54,48.46,0.537,46.34,6.85,3.5
2011,J_KUK_008,Kukatpally Nala Basin,52.21,47.79,0.542,45.84,6.78,3.5
2012,J_KUK_008,Kukatpally Nala Basin,53.15,46.85,0.549,45.14,6.69,3.5
2013,J_KUK_008,Kukatpally Nala Basin,54.44,45.56,0.558,44.17,6.56,3.5
2014,J_KUK_008,Kukatpally Nala Basin,56.15,43.85,0.571,42.89,6.38,3.5
2015,J_KUK_008,Kukatpally Nala Basin,58.33,41.67,0.587,41.25,6.17,3.5
2016,J_KUK_008,Kukatpally Nala Basin,60.95,39.05,0.607,39.29,5.91,3.5
2017,J_KUK_008,Kukatpally Nala Basin,63.89,36.11,0.629,37.09,5.61,3.5
2018,J_KUK_008,Kukatpally Nala Basin,66.94,33.06,0.652,34.8,5.31,3.5
2019,J_KUK_008,Kukatpally Nala Basin,69.88,30.12,0.674,32.59,5.01,3.5
2020,J_KUK_008,Kukatpally Nala Basin,72.49,27.51,0.694,30.63,4.75,3.5
2021,J_KUK_008,Kukatpally Nala Basin,74.67,25.33,0.71,29.0,4.53,3.5
2022,J_KUK_008,Kukatpally Nala Basin,76.39,23.61,0.723,27.71,4.36,3.5
2023,J_KUK_008,Kukatpally Nala Basin,77.68,22.32,0.733,26.74,4.23,3.5
2024,J_KUK_008,Kukatpally Nala Basin,78.62,21.38,0.74,26.04,4.14,3.5
2025,J_KUK_008,Kukatpally Nala Basin,79.28,20.72,0.745,25.54,4.07,3.5
2010,J_KUK_009,Kukatpally Nala Basin,52.31,47.69,0.542,45.77,6.77,3.5
2011,J_KUK_009,Kukatpally Nala Basin,52.99,47.01,0.547,45.26,6.7,3.5
2012,J_KUK_009,Kukatpally Nala Basin,53.95,46.05,0.555,44.54,6.61,3.5
2013,J_KUK_009,Kukatpally Nala Basin,55.26,44.74,0.564,43.55,6.47,3.5
2014,J_KUK_009,Kukatpally Nala Basin,57.01,42.99,0.578,42.24,6.3,3.5
2015,J_KUK_009,Kukatpally Nala Basin,59.24,40.76,0.594,40.57,6.08,3.5
2016,J_KUK_009,Kukatpally Nala Basin,61.91,38.09,0.614,38.57,5.81,3.5
2017,J_KUK_009,Kukatpally Nala Basin,64.9,35.1,0.637,36.32,5.51,3.5
2018,J_KUK_009,Kukatpally Nala Basin,68.02,31.98,0.66,33.98,5.2,3.5
2019,J_KUK_009,Kukatpally Nala Basin,71.02,28.98,0.683,31.74,4.9,3.5
2020,J_KUK_009,Kukatpally Nala Basin,73.69,26.31,0.703,29.73,4.63,3.5
2021,J_KUK_009,Kukatpally Nala Basin,75.91,24.09,0.719,28.07,4.41,3.5
2022,J_KUK_009,Kukatpally Nala Basin,77.66,22.34,0.732,26.75,4.23,3.5
2023,J_KUK_009,Kukatpally Nala Basin,78.98,21.02,0.742,25.77,4.1,3.5
2024,J_KUK_009,Kukatpally Nala Basin,79.94,20.06,0.75,25.05,4.01,3.5
2025,J_KUK_009,Kukatpally Nala Basin,80.62,19.38,0.755,24.54,3.94,3.5
2010,J_KUK_010,Kukatpally Nala Basin,52.99,47.01,0.547,45.25,6.7,3.5
2011,J_KUK_010,Kukatpally Nala Basin,53.64,46.36,0.552,44.77,6.64,3.5
2012,J_KUK_010,Kukatpally Nala Basin,54.54,45.46,0.559,44.09,6.55,3.5
2013,J_KUK_010,Kukatpally Nala Basin,55.79,44.21,0.568,43.16,6.42,3.5
2014,J_KUK_010,Kukatpally Nala Basin,57.44,42.56,0.581,41.92,6.26,3.5
2015,J_KUK_010,Kukatpally Nala Basin,59.55,40.45,0.597,40.34,6.05,3.5
2016,J_KUK_010,Kukatpally Nala Basin,62.07,37.93,0.616,38.45,5.79,3.5
2017,J_KUK_010,Kukatpally Nala Basin,64.9,35.1,0.637,36.32,5.51,3.5
2018,J_KUK_010,Kukatpally Nala Basin,67.85,32.15,0.659,34.11,5.21,3.5
2019,J_KUK_010,Kukatpally Nala Basin,70.69,29.31,0.68,31.99,4.93,3.5
2020,J_KUK_010,Kukatpally Nala Basin,73.21,26.79,0.699,30.09,4.68,3.5
2021,J_KUK_010,Kukatpally Nala Basin,75.31,24.69,0.715,28.51,4.47,3.5
2022,J_KUK_010,Kukatpally Nala Basin,76.97,23.03,0.727,27.27,4.3,3.5
2023,J_KUK_010,Kukatpally Nala Basin,78.21,21.79,0.737,26.34,4.18,3.5
2024,J_KUK_010,Kukatpally Nala Basin,79.12,20.88,0.743,25.66,4.09,3.5
2025,J_KUK_010,Kukatpally Nala Basin,79.76,20.24,0.748,25.18,4.02,3.5
2010,J_KUK_011,Kukatpally Nala Basin,53.99,46.01,0.555,44.5,6.6,3.5
2011,J_KUK_011,Kukatpally Nala Basin,54.6,45.4,0.559,44.05,6.54,3.5
2012,J_KUK_011,Kukatpally Nala Basin,55.45,44.55,0.566,43.41,6.45,3.5
2013,J_KUK_011,Kukatpally Nala Basin,56.63,43.37,0.575,42.53,6.34,3.5
2014,J_KUK_011,Kukatpally Nala Basin,58.19,41.81,0.586,41.36,6.18,3.5
2015,J_KUK_011,Kukatpally Nala Basin,60.17,39.83,0.601,39.87,5.98,3.5
2016,J_KUK_011,Kukatpally Nala Basin,62.55,37.45,0.619,38.09,5.74,3.5
2017,J_KUK_011,Kukatpally Nala Basin,65.22,34.78,0.639,36.08,5.48,3.5
2018,J_KUK_011,Kukatpally Nala Basin,68.0,32.0,0.66,34.0,5.2,3.5
2019,J_KUK_011,Kukatpally Nala Basin,70.68,29.32,0.68,31.99,4.93,3.5
2020,J_KUK_011,Kukatpally Nala Basin,73.06,26.94,0.698,30.21,4.69,3.5
2021,J_KUK_011,Kukatpally Nala Basin,75.04,24.96,0.713,28.72,4.5,3.5
2022,J_KUK_011,Kukatpally Nala Basin,76.6,23.4,0.725,27.55,4.34,3.5
2023,J_KUK_011,Kukatpally Nala Basin,77.78,22.22,0.733,26.67,4.22,3.5
2024,J_KUK_011,Kukatpally Nala Basin,78.63,21.37,0.74,26.03,4.14,3.5
2025,J_KUK_011,Kukatpally Nala Basin,79.24,20.76,0.744,25.57,4.08,3.5
2010,J_KUK_012,Kukatpally Nala Basin,52.21,47.79,0.542,45.84,6.78,3.5
2011,J_KUK_012,Kukatpally Nala Basin,52.88,47.12,0.547,45.34,6.71,3.5
2012,J_KUK_012,Kukatpally Nala Basin,53.82,46.18,0.554,44.64,6.62,3.5
2013,J_KUK_012,Kukatpally Nala Basin,55.11,44.89,0.563,43.67,6.49,3.5
2014,J_KUK_012,Kukatpally Nala Basin,56.83,43.17,0.576,42.38,6.32,3.5
2015,J_KUK_012,Kukatpally Nala Basin,59.01,40.99,0.593,40.74,6.1,3.5
2016,J_KUK_012,Kukatpally Nala Basin,61.64,38.36,0.612,38.77,5.84,3.5
2017,J_KUK_012,Kukatpally Nala Basin,64.58,35.42,0.634,36.57,5.54,3.5
2018,J_KUK_012,Kukatpally Nala Basin,67.64,32.36,0.657,34.27,5.24,3.5
2019,J_KUK_012,Kukatpally Nala Basin,70.58,29.42,0.679,32.06,4.94,3.5
2020,J_KUK_012,Kukatpally Nala Basin,73.21,26.79,0.699,30.1,4.68,3.5
2021,J_KUK_012,Kukatpally Nala Basin,75.39,24.61,0.715,28.46,4.46,3.5
2022,J_KUK_012,Kukatpally Nala Basin,77.11,22.89,0.728,27.17,4.29,3.5
2023,J_KUK_012,Kukatpally Nala Basin,78.4,21.6,0.738,26.2,4.16,3.5
2024,J_KUK_012,Kukatpally Nala Basin,79.34,20.66,0.745,25.49,4.07,3.5
2025,J_KUK_012,Kukatpally Nala Basin,80.01,19.99,0.75,24.99,4.0,3.5
2010,J_KUK_013,Kukatpally Nala Basin,53.23,46.77,0.549,45.08,6.68,3.5
2011,J_KUK_013,Kukatpally Nala Basin,53.91,46.09,0.554,44.57,6.61,3.5
2012,J_KUK_013,Kukatpally Nala Basin,54.87,45.13,0.562,43.85,6.51,3.5
2013,J_KUK_013,Kukatpally Nala Basin,56.19,43.81,0.571,42.86,6.38,3.5
2014,J_KUK_013,Kukatpally Nala Basin,57.95,42.05,0.585,41.54,6.21,3.5
2015,J_KUK_013,Kukatpally Nala Basin,60.18,39.82,0.601,39.86,5.98,3.5
2016,J_KUK_013,Kukatpally Nala Basin,62.86,37.14,0.621,37.85,5.71,3.5
2017,J_KUK_013,Kukatpally Nala Basin,65.87,34.13,0.644,35.59,5.41,3.5
2018,J_KUK_013,Kukatpally Nala Basin,69.0,31.0,0.668,33.25,5.1,3.5
2019,J_KUK_013,Kukatpally Nala Basin,72.01,27.99,0.69,30.99,4.8,3.5
2020,J_KUK_013,Kukatpally Nala Basin,74.69,25.31,0.71,28.98,4.53,3.5
2021,J_KUK_013,Kukatpally Nala Basin,76.93,23.07,0.727,27.3,4.31,3.5
2022,J_KUK_013,Kukatpally Nala Basin,78.69,21.31,0.74,25.99,4.13,3.5
2023,J_KUK_013,Kukatpally Nala Basin,80.01,19.99,0.75,24.99,4.0,3.5
2024,J_KUK_013,Kukatpally Nala Basin,80.97,19.03,0.757,24.27,3.9,3.5
2025,J_KUK_013,Kukatpally Nala Basin,81.65,18.35,0.762,23.76,3.83,3.5
2010,J_KUK_014,Kukatpally Nala Basin,51.71,48.29,0.538,46.22,6.83,3.5
2011,J_KUK_014,Kukatpally Nala Basin,52.4,47.6,0.543,45.7,6.76,3.5
2012,J_KUK_014,Kukatpally Nala Basin,53.38,46.62,0.55,44.97,6.66,3.5
2013,J_KUK_014,Kukatpally Nala Basin,54.72,45.28,0.56,43.96,6.53,3.5
2014,J_KUK_014,Kukatpally Nala Basin,56.5,43.5,0.574,42.62,6.35,3.5
2015,J_KUK_014,Kukatpally Nala Basin,58.77,41.23,0.591,40.93,6.12,3.5
2016,J_KUK_014,Kukatpally Nala Basin,61.49,38.51,0.611,38.88,5.85,3.5
2017,J_KUK_014,Kukatpally Nala Basin,64.54,35.46,0.634,36.6,5.55,3.5
2018,J_KUK_014,Kukatpally Nala Basin,67.72,32.28,0.658,34.21,5.23,3.5
2019,J_KUK_014,Kukatpally Nala Basin,70.77,29.23,0.681,31.92,4.92,3.5
2020,J_KUK_014,Kukatpally Nala Basin,73.49,26.51,0.701,29.88,4.65,3.5
2021,J_KUK_014,Kukatpally Nala Basin,75.75,24.25,0.718,28.18,4.42,3.5
2022,J_KUK_014,Kukatpally Nala Basin,77.54,22.46,0.732,26.85,4.25,3.5
2023,J_KUK_014,Kukatpally Nala Basin,78.88,21.12,0.742,25.84,4.11,3.5
2024,J_KUK_014,Kukatpally Nala Basin,79.85,20.15,0.749,25.11,4.01,3.5
2025,J_KUK_014,Kukatpally Nala Basin,80.55,19.45,0.754,24.59,3.95,3.5
2010,J_KUK_015,Kukatpally Nala Basin,53.86,46.14,0.554,44.6,6.61,3.5
2011,J_KUK_015,Kukatpally Nala Basin,54.46,45.54,0.558,44.15,6.55,3.5
2012,J_KUK_015,Kukatpally Nala Basin,55.31,44.69,0.565,43.52,6.47,3.5
2013,J_KUK_015,Kukatpally Nala Basin,56.47,43.53,0.574,42.64,6.35,3.5
2014,J_KUK_015,Kukatpally Nala Basin,58.02,41.98,0.585,41.48,6.2,3.5
2015,J_KUK_015,Kukatpally Nala Basin,59.99,40.01,0.6,40.01,6.0,3.5
2016,J_KUK_015,Kukatpally Nala Basin,62.35,37.65,0.618,38.24,5.77,3.5
2017,J_KUK_015,Kukatpally Nala Basin,64.99,35.01,0.637,36.26,5.5,3.5
2018,J_KUK_015,Kukatpally Nala Basin,67.75,32.25,0.658,34.19,5.23,3.5
2019,J_KUK_015,Kukatpally Nala Basin,70.39,29.61,0.678,32.2,4.96,3.5
2020,J_KUK_015,Kukatpally Nala Basin,72.75,27.25,0.696,30.43,4.72,3.5
2021,J_KUK_015,Kukatpally Nala Basin,74.72,25.28,0.71,28.96,4.53,3.5
2022,J_KUK_015,Kukatpally Nala Basin,76.27,23.73,0.722,27.8,4.37,3.5
2023,J_KUK_015,Kukatpally Nala Basin,77.43,22.57,0.731,26.93,4.26,3.5
2024,J_KUK_015,Kukatpally Nala Basin,78.28,21.72,0.737,26.29,4.17,3.5
2025,J_KUK_015,Kukatpally Nala Basin,78.88,21.12,0.742,25.84,4.11,3.5
2010,J_BAL_016,Balkapur Nala & Central Zone,69.5,30.5,0.671,32.87,5.05,3.5
2011,J_BAL_016,Balkapur Nala & Central Zone,69.89,30.11,0.674,32.58,5.01,3.5
2012,J_BAL_016,Balkapur Nala & Central Zone,70.44,29.56,0.678,32.17,4.96,3.5
2013,J_BAL_016,Balkapur Nala & Central Zone,71.2,28.8,0.684,31.6,4.88,3.5
2014,J_BAL_016,Balkapur Nala & Central Zone,72.21,27.79,0.692,30.84,4.78,3.5
2015,J_BAL_016,Balkapur Nala & Central Zone,73.5,26.5,0.701,29.88,4.65,3.5
2016,J_BAL_016,Balkapur Nala & Central Zone,75.04,24.96,0.713,28.72,4.5,3.5
2017,J_BAL_016,Balkapur Nala & Central Zone,76.76,23.24,0.726,27.43,4.32,3.5
2018,J_BAL_016,Balkapur Nala & Central Zone,78.56,21.44,0.739,26.08,4.14,3.5
2019,J_BAL_016,Balkapur Nala & Central Zone,80.29,19.71,0.752,24.78,3.97,3.5
2020,J_BAL_016,Balkapur Nala & Central Zone,81.83,18.17,0.764,23.63,3.82,3.5
2021,J_BAL_016,Balkapur Nala & Central Zone,83.11,16.89,0.773,22.66,3.69,3.5
2022,J_BAL_016,Balkapur Nala & Central Zone,84.12,15.88,0.781,21.91,3.59,3.5
2023,J_BAL_016,Balkapur Nala & Central Zone,84.88,15.12,0.787,21.34,3.51,3.5
2024,J_BAL_016,Balkapur Nala & Central Zone,85.44,14.56,0.791,20.92,3.46,3.5
2025,J_BAL_016,Balkapur Nala & Central Zone,85.83,14.17,0.794,20.63,3.42,3.5
2010,J_BAL_017,Balkapur Nala & Central Zone,66.55,33.45,0.649,35.09,5.35,3.5
2011,J_BAL_017,Balkapur Nala & Central Zone,67.08,32.92,0.653,34.69,5.29,3.5
2012,J_BAL_017,Balkapur Nala & Central Zone,67.82,32.18,0.659,34.13,5.22,3.5
2013,J_BAL_017,Balkapur Nala & Central Zone,68.85,31.15,0.666,33.36,5.11,3.5
2014,J_BAL_017,Balkapur Nala & Central Zone,70.22,29.78,0.677,32.34,4.98,3.5
2015,J_BAL_017,Balkapur Nala & Central Zone,71.95,28.05,0.69,31.03,4.8,3.5
2016,J_BAL_017,Balkapur Nala & Central Zone,74.04,25.96,0.705,29.47,4.6,3.5
2017,J_BAL_017,Balkapur Nala & Central Zone,76.38,23.62,0.723,27.72,4.36,3.5
2018,J_BAL_017,Balkapur Nala & Central Zone,78.81,21.19,0.741,25.89,4.12,3.5
2019,J_BAL_017,Balkapur Nala & Central Zone,81.15,18.85,0.759,24.14,3.89,3.5
2020,J_BAL_017,Balkapur Nala & Central Zone,83.23,16.77,0.774,22.58,3.68,3.5
2021,J_BAL_017,Balkapur Nala & Central Zone,84.97,15.03,0.787,21.27,3.5,3.5
2022,J_BAL_017,Balkapur Nala & Central Zone,86.33,13.67,0.798,20.25,3.37,3.5
2023,J_BAL_017,Balkapur Nala & Central Zone,87.36,12.64,0.805,19.48,3.26,3.5
2024,J_BAL_017,Balkapur Nala & Central Zone,88.11,11.89,0.811,18.92,3.19,3.5
2025,J_BAL_017,Balkapur Nala & Central Zone,88.64,11.36,0.815,18.52,3.14,3.5
2010,J_BAL_018,Balkapur Nala & Central Zone,71.67,28.33,0.688,31.25,4.83,3.5
2011,J_BAL_018,Balkapur Nala & Central Zone,72.07,27.93,0.691,30.95,4.79,3.5
2012,J_BAL_018,Balkapur Nala & Central Zone,72.63,27.37,0.695,30.53,4.74,3.5
2013,J_BAL_018,Balkapur Nala & Central Zone,73.41,26.59,0.701,29.94,4.66,3.5
2014,J_BAL_018,Balkapur Nala & Central Zone,74.44,25.56,0.708,29.17,4.56,3.5
2015,J_BAL_018,Balkapur Nala & Central Zone,75.75,24.25,0.718,28.19,4.42,3.5
2016,J_BAL_018,Balkapur Nala & Central Zone,77.33,22.67,0.73,27.0,4.27,3.5
2017,J_BAL_018,Balkapur Nala & Central Zone,79.09,20.91,0.743,25.68,4.09,3.5
2018,J_BAL_018,Balkapur Nala & Central Zone,80.93,19.07,0.757,24.3,3.91,3.5
2019,J_BAL_018,Balkapur Nala & Central Zone,82.7,17.3,0.77,22.98,3.73,3.5
2020,J_BAL_018,Balkapur Nala & Central Zone,84.27,15.73,0.782,21.79,3.57,3.5
2021,J_BAL_018,Balkapur Nala & Central Zone,85.59,14.41,0.792,20.81,3.44,3.5
2022,J_BAL_018,Balkapur Nala & Central Zone,86.62,13.38,0.8,20.04,3.34,3.5
2023,J_BAL_018,Balkapur Nala & Central Zone,87.39,12.61,0.805,19.45,3.26,3.5
2024,J_BAL_018,Balkapur Nala & Central Zone,87.96,12.04,0.81,19.03,3.2,3.5
